,Ward,Alderperson,Start Date,End Date,Party,Notes,Clean Ward,Start Year,End Year
2,5,Leslie Hairston,May 1999,"May 15, 2023",,,5,1999,2023.0
5,6,Roderick Sawyer,"May 16, 2011","May 15, 2023",,,6,2011,2023.0
7,7,Sandi Jackson,"May 21, 2007","January 15, 2013",,,7,2007,2013.0
8,7,Natashia Holmes,"February 13, 2013","May 18, 2015",,,7,2013,2015.0
9,7,Gregory Mitchell,"February 13, 2013","May 18, 2015",,,7,2013,2015.0
18,10,John Pope,May 1999,May 2015,,,10,1999,2015.0
19,10,Susan Sadlowski Garza,"May 18, 2015","May 15, 2023",,,10,2015,2023.0
21,11,James Balcer,1997,2015,,,11,1997,2015.0
22,11,Patrick Daley Thompson,"May 18, 2015","February 14, 2022",,,11,2015,2022.0
23,11,Nicole Lee,"May 18, 2015","February 14, 2022",,,11,2015,2022.0
24,12,George Cardenas,2003,2022,,,12,2003,2022.0
25,12,Anabel Abarca,"December 14, 2022","May 15, 2023",,,12,2022,2023.0
26,12,Julia Ramirez,"December 14, 2022","May 15, 2023",,,12,2022,2023.0
29,15,Toni Foulkes,2015,2019,,,15,2015,2019.0
30,15,Raymond Lopez,2015,2019,,,15,2015,2019.0
34,16,Toni Foulkes,2015,2019,,,16,2015,2019.0
35,16,Stephanie Coleman,2015,2019,,,16,2015,2019.0
36,17,Latasha Thomas,2000,2015,,,17,2000,2015.0
37,17,David H. Moore,2000,2015,,,17,2000,2015.0
38,18,Derrick Curtis,2000,2015,,,18,2000,2015.0
40,20,Willie Cochran,2007,2019,,,20,2007,2019.0
41,20,Jeanette Taylor,2007,2019,,,20,2007,2019.0
44,21,Howard Brookins Jr.,May 2003,"May 15, 2023",,,21,2003,2023.0
46,22,Ricardo Muñoz,January 1993,"May 20, 2019",,,22,1993,2019.0
47,22,Michael D. Rodriguez,January 1993,"May 20, 2019",,,22,1993,2019.0
49,23,Michael R. Zalewski,May 1995,"May 31, 2018",,,23,1995,2018.0
50,23,Silvana Tabares,May 1995,"May 31, 2018",,,23,1995,2018.0
53,24,Michael Scott Jr.,"May 18, 2015","June 3, 2022",,,24,2015,2022.0
54,28,Jason Ervin,"May 18, 2015","June 3, 2022",,,28,2015,2022.0
56,29,Deborah L. Graham,2010,2015,,,29,2010,2015.0
57,29,Chris Taliaferro,2010,2015,,,29,2010,2015.0
58,30,Ariel Reboyras,May 2003,"May 15, 2023",,,30,2003,2023.0
59,33,Richard Mell,1975,"July 24, 2013",,,33,1975,2013.0
60,33,Deb Mell,"July 24, 2013","May 20, 2019",,,33,2013,2019.0
61,33,Rossana Rodriguez-Sanchez,"July 24, 2013","May 20, 2019",,,33,2013,2019.0
62,34,Carrie Austin,"August 5, 1994","March 1, 2023",,,34,1994,2023.0
63,34,Bill Conway,"August 5, 1994","March 1, 2023",,,34,1994,2023.0
65,35,Rey Colón,2003,2015,,,35,2003,2015.0
66,35,Carlos Ramirez-Rosa,2003,2015,,,35,2003,2015.0
72,39,Margaret Laurino,"July 24, 1994","May 20, 2019",,,39,1994,2019.0
73,39,Samantha Nugent,"July 24, 1994","May 20, 2019",,,39,1994,2019.0
75,40,Patrick J. O'Connor,May 1983,May 2019,,,40,1983,2019.0
76,40,Andre Vasquez,May 1983,May 2019,,,40,1983,2019.0
79,41,Mary O'Connor,May 2011,May 2015,,,41,2011,2015.0
80,41,Anthony Napolitano,May 2011,May 2015,,,41,2011,2015.0
85,44,Tom Tunney,"January 16, 2003","May 15, 2023",,,44,2003,2023.0
86,44,Bennett Lawson,"January 16, 2003","May 15, 2023",,,44,2003,2023.0
87,45,John Arena,May 2011,May 2019,,,45,2011,2019.0
88,45,Jim Gardiner,May 2011,May 2019,,,45,2011,2019.0
90,46,James Cappleman,"May 16, 2011","May 15, 2023",,,46,2011,2023.0
91,46,Angela Clay,"May 16, 2011","May 15, 2023",,,46,2011,2023.0
94,48,Harry Osterman,"May 16, 2011","May 15, 2023",,,48,2011,2023.0
95,48,Leni Manaa-Hoppenworth,"May 16, 2011","May 15, 2023",,,48,2011,2023.0
104,1st Ward,Proco Joe Moreno,"March 26, 2010","May 20, 2019",Democratic,,1,2010,2019.0
105,1st Ward,Daniel La Spata,"May 20, 2019",present,Democratic,,1,2019,
114,2nd Ward,Robert Fioretti,"May 21, 2007",May 2015,Democratic,,2,2007,2015.0
115,2nd Ward,Brian K. Hopkins,May 2015,present,Democratic,,2,2015,
123,3rd Ward,Pat Dowell,"April 27, 2007",Present,Democratic,,3,2007,
128,4th Ward,William D. Burns,May 2011,February 2016,Democratic,,4,2011,2016.0
129,4th Ward,Sophia King,"April 16, 2016",present,Democratic,,4,2016,
134,5th Ward,Edward M. Burke,"March 14, 1969",Present,Democratic,,5,1969,
139,6th Ward,Edward M. Burke,"March 14, 1969",Present,Democratic,,6,1969,
144,7th Ward,Edward M. Burke,"March 14, 1969",Present,Democratic,,7,1969,
