,Clean Ward,Alderperson,Start Date,End Date,End Year for Fill,year,category,calls,num_projects,total_cost
0,22,Ricardo Muñoz,January 1993,"May 20, 2019",2018,2018,Lighting,38,0,0
1,3,Pat Dowell,"April 27, 2007",Present,2018,2018,Lighting,19,2,48900
2,43,Michele Smith,"May 16, 2011","August 12, 2022",2018,2018,Beautification,0,7,93400
3,43,Michele Smith,"May 16, 2011","August 12, 2022",2018,2018,Lighting,34,1,500
4,43,Michele Smith,"May 16, 2011","August 12, 2022",2018,2018,Parks & Recreation,0,3,39000
5,43,Michele Smith,"May 16, 2011","August 12, 2022",2018,2018,"Plants, Gardens, & Sustainability",86,0,0
6,43,Michele Smith,"May 16, 2011","August 12, 2022",2018,2018,Streets & Transportation,128,56,1187099
7,3,Pat Dowell,"April 27, 2007",Present,2018,2018,"Plants, Gardens, & Sustainability",80,0,0
8,29,Chris Taliaferro,"May 18, 2015",present,2018,2018,Streets & Transportation,118,56,1243799
9,13,Marty Quinn,May 2011,present,2018,2018,Streets & Transportation,256,131,1015699
10,13,Marty Quinn,May 2011,present,2018,2018,Security Cameras,0,1,1800
11,13,Marty Quinn,May 2011,present,2018,2018,"Plants, Gardens, & Sustainability",110,0,0
12,13,Marty Quinn,May 2011,present,2018,2018,Parks & Recreation,0,2,135000
13,13,Marty Quinn,May 2011,present,2018,2018,Lighting,76,2,167500
14,29,Chris Taliaferro,"May 18, 2015",present,2018,2018,Parks & Recreation,0,1,55700
15,29,Chris Taliaferro,"May 18, 2015",present,2018,2018,"Plants, Gardens, & Sustainability",163,0,0
16,29,Chris Taliaferro,"May 18, 2015",present,2018,2018,Lighting,38,1,500
17,19,Matthew O'Shea,2011,present,2018,2018,Streets & Transportation,126,28,1269999
18,19,Matthew O'Shea,2011,present,2018,2018,Parks & Recreation,0,1,50000
19,30,Ariel Reboyras,May 2003,"May 15, 2023",2018,2018,Lighting,46,0,0
20,41,Anthony Napolitano,"May 18, 2015",present,2018,2018,Lighting,87,2,1500
21,41,Anthony Napolitano,"May 18, 2015",present,2018,2018,Parks & Recreation,0,3,252000
22,41,Anthony Napolitano,"May 18, 2015",present,2018,2018,"Plants, Gardens, & Sustainability",286,0,0
23,41,Anthony Napolitano,"May 18, 2015",present,2018,2018,Streets & Transportation,233,40,1066499
24,3,Pat Dowell,"April 27, 2007",Present,2018,2018,Streets & Transportation,79,44,1244088
25,19,Matthew O'Shea,2011,present,2018,2018,"Plants, Gardens, & Sustainability",416,0,0
26,3,Pat Dowell,"April 27, 2007",Present,2018,2018,Security Cameras,0,1,27011
27,42,Brendan Reilly,2007,Present,2018,2018,Beautification,0,2,63290
28,42,Brendan Reilly,2007,Present,2018,2018,Lighting,6,2,85069
29,42,Brendan Reilly,2007,Present,2018,2018,Parks & Recreation,0,2,128044
30,42,Brendan Reilly,2007,Present,2018,2018,"Plants, Gardens, & Sustainability",16,0,0
31,42,Brendan Reilly,2007,Present,2018,2018,Security Cameras,0,4,162066
32,42,Brendan Reilly,2007,Present,2018,2018,Streets & Transportation,202,23,881530
33,19,Matthew O'Shea,2011,present,2018,2018,Lighting,54,0,0
34,14,Edward M. Burke,"March 14, 1969",Present,2018,2018,Lighting,33,0,0
35,29,Chris Taliaferro,"May 18, 2015",present,2018,2018,Beautification,1,1,20000
36,44,Tom Tunney,"January 16, 2003","May 15, 2023",2018,2018,"Plants, Gardens, & Sustainability",91,1,7500
37,46,James Cappleman,"May 16, 2011","May 15, 2023",2018,2018,Streets & Transportation,62,29,920942
38,2,Brian K. Hopkins,May 2015,present,2018,2018,"Plants, Gardens, & Sustainability",72,0,0
39,2,Brian K. Hopkins,May 2015,present,2018,2018,Security Cameras,0,3,81033
40,2,Brian K. Hopkins,May 2015,present,2018,2018,Streets & Transportation,115,30,1235566
41,27,Walter Burnett Jr.,May 1995,present,2018,2018,Streets & Transportation,171,21,478429
42,27,Walter Burnett Jr.,May 1995,present,2018,2018,Security Cameras,0,3,81033
43,46,James Cappleman,"May 16, 2011","May 15, 2023",2018,2018,Schools & Libraries,0,1,9057
44,27,Walter Burnett Jr.,May 1995,present,2018,2018,"Plants, Gardens, & Sustainability",234,0,0
45,12,George Cardenas,2003,2022,2018,2018,Streets & Transportation,170,93,1135441
46,12,George Cardenas,2003,2022,2018,2018,"Plants, Gardens, & Sustainability",147,0,0
47,12,George Cardenas,2003,2022,2018,2018,Lighting,57,6,18122
48,12,George Cardenas,2003,2022,2018,2018,Beautification,0,11,166436
49,27,Walter Burnett Jr.,May 1995,present,2018,2018,Lighting,48,3,703000
50,27,Walter Burnett Jr.,May 1995,present,2018,2018,Beautification,1,1,510
51,27,Walter Burnett Jr.,May 1995,present,2018,2018,Miscellaneous,0,2,3270
52,44,Tom Tunney,"January 16, 2003","May 15, 2023",2018,2018,Lighting,60,5,67000
53,46,James Cappleman,"May 16, 2011","May 15, 2023",2018,2018,"Plants, Gardens, & Sustainability",49,0,0
54,46,James Cappleman,"May 16, 2011","May 15, 2023",2018,2018,Lighting,18,2,335000
55,44,Tom Tunney,"January 16, 2003","May 15, 2023",2018,2018,Schools & Libraries,0,1,60000
56,44,Tom Tunney,"January 16, 2003","May 15, 2023",2018,2018,Streets & Transportation,94,29,1185499
57,28,Jason Ervin,"January 13, 2011",present,2018,2018,Streets & Transportation,163,45,972194
58,28,Jason Ervin,"January 13, 2011",present,2018,2018,Security Cameras,0,5,16200
59,28,Jason Ervin,"January 13, 2011",present,2018,2018,"Plants, Gardens, & Sustainability",246,0,0
60,28,Jason Ervin,"January 13, 2011",present,2018,2018,Beautification,1,0,0
61,46,James Cappleman,"May 16, 2011","May 15, 2023",2018,2018,Parks & Recreation,0,1,25000
62,45,John Arena,May 2011,May 2019,2018,2018,Beautification,1,2,20909
63,45,John Arena,May 2011,May 2019,2018,2018,Parks & Recreation,0,1,15000
64,45,John Arena,May 2011,May 2019,2018,2018,"Plants, Gardens, & Sustainability",267,0,0
65,45,John Arena,May 2011,May 2019,2018,2018,Streets & Transportation,201,82,1267168
66,2,Brian K. Hopkins,May 2015,present,2018,2018,Lighting,47,1,2700
67,2,Brian K. Hopkins,May 2015,present,2018,2018,Miscellaneous,0,2,700
68,46,James Cappleman,"May 16, 2011","May 15, 2023",2018,2018,Bike Infrastructure,0,1,30000
69,45,John Arena,May 2011,May 2019,2018,2018,Lighting,72,1,500
70,14,Edward M. Burke,"March 14, 1969",Present,2018,2018,"Plants, Gardens, & Sustainability",136,0,0
71,14,Edward M. Burke,"March 14, 1969",Present,2018,2018,Streets & Transportation,168,53,1319999
72,30,Ariel Reboyras,May 2003,"May 15, 2023",2018,2018,Parks & Recreation,0,1,45000
73,36,Gilbert Villegas,"May 18, 2015",present,2018,2018,Lighting,69,0,0
74,36,Gilbert Villegas,"May 18, 2015",present,2018,2018,"Plants, Gardens, & Sustainability",131,0,0
75,36,Gilbert Villegas,"May 18, 2015",present,2018,2018,Schools & Libraries,0,1,55000
76,36,Gilbert Villegas,"May 18, 2015",present,2018,2018,Security Cameras,0,1,13505
77,36,Gilbert Villegas,"May 18, 2015",present,2018,2018,Streets & Transportation,259,67,1251494
78,16,Toni Foulkes,2015,2019,2018,2018,Streets & Transportation,153,26,767990
79,17,David H. Moore,"May 18, 2015",present,2018,2018,Streets & Transportation,170,45,1172488
80,16,Toni Foulkes,2015,2019,2018,2018,"Plants, Gardens, & Sustainability",331,0,0
81,37,Emma Mitts,"January 7, 2000",present,2018,2018,Lighting,37,0,0
82,37,Emma Mitts,"January 7, 2000",present,2018,2018,"Plants, Gardens, & Sustainability",287,0,0
83,37,Emma Mitts,"January 7, 2000",present,2018,2018,Streets & Transportation,104,57,1319999
84,33,Deb Mell,"July 24, 2013","May 20, 2019",2018,2018,Streets & Transportation,149,55,939999
85,33,Deb Mell,"July 24, 2013","May 20, 2019",2018,2018,"Plants, Gardens, & Sustainability",169,0,0
86,33,Deb Mell,"July 24, 2013","May 20, 2019",2018,2018,Lighting,71,2,380000
87,16,Toni Foulkes,2015,2019,2018,2018,Lighting,53,4,552000
88,38,Nicholas Sposato,2013,present,2018,2018,Lighting,74,0,0
89,36,Nicholas Sposato,"May 18, 2015",present,2018,2018,Streets & Transportation,259,67,1251494
90,36,Nicholas Sposato,"May 18, 2015",present,2018,2018,Schools & Libraries,0,1,55000
91,34,Carrie Austin,"August 5, 1994","March 1, 2023",2018,2018,Streets & Transportation,194,34,1135199
92,35,Carlos Ramirez-Rosa,"May 18, 2015",present,2018,2018,Lighting,55,1,121000
93,35,Carlos Ramirez-Rosa,"May 18, 2015",present,2018,2018,"Plants, Gardens, & Sustainability",82,0,0
94,35,Carlos Ramirez-Rosa,"May 18, 2015",present,2018,2018,Security Cameras,0,1,27011
95,35,Carlos Ramirez-Rosa,"May 18, 2015",present,2018,2018,Streets & Transportation,137,50,1171988
96,34,Carrie Austin,"August 5, 1994","March 1, 2023",2018,2018,"Plants, Gardens, & Sustainability",290,0,0
97,36,Nicholas Sposato,"May 18, 2015",present,2018,2018,Security Cameras,0,1,13505
98,34,Carrie Austin,"August 5, 1994","March 1, 2023",2018,2018,Lighting,146,2,42000
99,17,David H. Moore,"May 18, 2015",present,2018,2018,Beautification,0,3,120000
100,17,David H. Moore,"May 18, 2015",present,2018,2018,Lighting,73,1,500
101,17,David H. Moore,"May 18, 2015",present,2018,2018,"Plants, Gardens, & Sustainability",292,0,0
102,17,David H. Moore,"May 18, 2015",present,2018,2018,Security Cameras,0,1,27011
103,36,Nicholas Sposato,"May 18, 2015",present,2018,2018,Lighting,69,0,0
104,36,Nicholas Sposato,"May 18, 2015",present,2018,2018,"Plants, Gardens, & Sustainability",131,0,0
105,34,Carrie Austin,"August 5, 1994","March 1, 2023",2018,2018,Beautification,0,2,142800
