,Ward,Alderperson,Start Date,End Date,Party,Notes,Clean Ward,Start Year,End Year,End Year for Fill
0,1st,Proco Joe Moreno,"March 26, 2010","May 20, 2019",Democratic,,1,2010,2019.0,2019.0
9,1st,Proco Joe Moreno,"March 26, 2010","May 20, 2019",Democratic,,1,2010,2019.0,2018.0
10,1st,Proco Joe Moreno,"March 26, 2010","May 20, 2019",Democratic,,1,2010,2019.0,2019.0
11,1st,Daniel La Spata,"May 20, 2019",present,Democratic,,1,2019,,2019.0
12,1st,Daniel La Spata,"May 20, 2019",present,Democratic,,1,2019,,2020.0
13,1st,Daniel La Spata,"May 20, 2019",present,Democratic,,1,2019,,2021.0
14,1st,Daniel La Spata,"May 20, 2019",present,Democratic,,1,2019,,2022.0
15,1st,Daniel La Spata,"May 20, 2019",present,Democratic,,1,2019,,2023.0
19,10,Susan Sadlowski Garza,"May 18, 2015","May 15, 2023",,,10,2015,2023.0,2018.0
20,10,Susan Sadlowski Garza,"May 18, 2015","May 15, 2023",,,10,2015,2023.0,2019.0
21,10,Susan Sadlowski Garza,"May 18, 2015","May 15, 2023",,,10,2015,2023.0,2020.0
22,10,Susan Sadlowski Garza,"May 18, 2015","May 15, 2023",,,10,2015,2023.0,2021.0
23,10,Susan Sadlowski Garza,"May 18, 2015","May 15, 2023",,,10,2015,2023.0,2022.0
24,10,Susan Sadlowski Garza,"May 18, 2015","May 15, 2023",,,10,2015,2023.0,2023.0
45,11,Patrick Daley Thompson,"May 18, 2015","February 14, 2022",,,11,2015,2022.0,2018.0
46,11,Patrick Daley Thompson,"May 18, 2015","February 14, 2022",,,11,2015,2022.0,2019.0
47,11,Patrick Daley Thompson,"May 18, 2015","February 14, 2022",,,11,2015,2022.0,2020.0
48,11,Patrick Daley Thompson,"May 18, 2015","February 14, 2022",,,11,2015,2022.0,2021.0
49,11,Patrick Daley Thompson,"May 18, 2015","February 14, 2022",,,11,2015,2022.0,2022.0
69,11,Nicole Lee,"March 28, 2022",present,,,11,2022,,2022.0
70,11,Nicole Lee,"March 28, 2022",present,,,11,2022,,2023.0
86,12,George Cardenas,2003,2022,,,12,2003,2022.0,2018.0
87,12,George Cardenas,2003,2022,,,12,2003,2022.0,2019.0
88,12,George Cardenas,2003,2022,,,12,2003,2022.0,2020.0
89,12,George Cardenas,2003,2022,,,12,2003,2022.0,2021.0
90,12,George Cardenas,2003,2022,,,12,2003,2022.0,2022.0
91,12,Anabel Abarca,"December 14, 2022","May 15, 2023",,,12,2022,2023.0,2022.0
92,12,Anabel Abarca,"December 14, 2022","May 15, 2023",,,12,2022,2023.0,2023.0
93,12,Julia Ramirez,"May 15, 2023",present,,,12,2023,,2023.0
101,13,Marty Quinn,May 2011,present,,,13,2011,,2018.0
102,13,Marty Quinn,May 2011,present,,,13,2011,,2019.0
103,13,Marty Quinn,May 2011,present,,,13,2011,,2020.0
104,13,Marty Quinn,May 2011,present,,,13,2011,,2021.0
105,13,Marty Quinn,May 2011,present,,,13,2011,,2022.0
106,13,Marty Quinn,May 2011,present,,,13,2011,,2023.0
156,14th,Edward M. Burke,"March 14, 1969",Present,Democratic,,14,1969,,2018.0
157,14th,Edward M. Burke,"March 14, 1969",Present,Democratic,,14,1969,,2019.0
158,14th,Edward M. Burke,"March 14, 1969",Present,Democratic,,14,1969,,2020.0
159,14th,Edward M. Burke,"March 14, 1969",Present,Democratic,,14,1969,,2021.0
160,14th,Edward M. Burke,"March 14, 1969",Present,Democratic,,14,1969,,2022.0
161,14th,Edward M. Burke,"March 14, 1969",Present,Democratic,,14,1969,,2023.0
165,15,Toni Foulkes,2015,2019,,,15,2015,2019.0,2018.0
166,15,Toni Foulkes,2015,2019,,,15,2015,2019.0,2019.0
170,15,Raymond Lopez,"May 18, 2015",present,,,15,2015,,2018.0
171,15,Raymond Lopez,"May 18, 2015",present,,,15,2015,,2019.0
172,15,Raymond Lopez,"May 18, 2015",present,,,15,2015,,2020.0
173,15,Raymond Lopez,"May 18, 2015",present,,,15,2015,,2021.0
174,15,Raymond Lopez,"May 18, 2015",present,,,15,2015,,2022.0
175,15,Raymond Lopez,"May 18, 2015",present,,,15,2015,,2023.0
179,16,Toni Foulkes,2015,2019,,,16,2015,2019.0,2018.0
180,16,Toni Foulkes,2015,2019,,,16,2015,2019.0,2019.0
181,16,Stephanie Coleman,"May 20, 2019",present,,,16,2019,,2019.0
182,16,Stephanie Coleman,"May 20, 2019",present,,,16,2019,,2020.0
183,16,Stephanie Coleman,"May 20, 2019",present,,,16,2019,,2021.0
184,16,Stephanie Coleman,"May 20, 2019",present,,,16,2019,,2022.0
185,16,Stephanie Coleman,"May 20, 2019",present,,,16,2019,,2023.0
189,17,David H. Moore,"May 18, 2015",present,,,17,2015,,2018.0
190,17,David H. Moore,"May 18, 2015",present,,,17,2015,,2019.0
191,17,David H. Moore,"May 18, 2015",present,,,17,2015,,2020.0
192,17,David H. Moore,"May 18, 2015",present,,,17,2015,,2021.0
193,17,David H. Moore,"May 18, 2015",present,,,17,2015,,2022.0
194,17,David H. Moore,"May 18, 2015",present,,,17,2015,,2023.0
214,18,Derrick Curtis,"May 18, 2015",present,,,18,2015,,2018.0
215,18,Derrick Curtis,"May 18, 2015",present,,,18,2015,,2019.0
216,18,Derrick Curtis,"May 18, 2015",present,,,18,2015,,2020.0
217,18,Derrick Curtis,"May 18, 2015",present,,,18,2015,,2021.0
218,18,Derrick Curtis,"May 18, 2015",present,,,18,2015,,2022.0
219,18,Derrick Curtis,"May 18, 2015",present,,,18,2015,,2023.0
227,19th,Matthew O'Shea,2011,present,Democratic,,19,2011,,2018.0
228,19th,Matthew O'Shea,2011,present,Democratic,,19,2011,,2019.0
229,19th,Matthew O'Shea,2011,present,Democratic,,19,2011,,2020.0
230,19th,Matthew O'Shea,2011,present,Democratic,,19,2011,,2021.0
231,19th,Matthew O'Shea,2011,present,Democratic,,19,2011,,2022.0
232,19th,Matthew O'Shea,2011,present,Democratic,,19,2011,,2023.0
236,2nd,Brian K. Hopkins,May 2015,present,Democratic,,2,2015,,2018.0
237,2nd,Brian K. Hopkins,May 2015,present,Democratic,,2,2015,,2019.0
238,2nd,Brian K. Hopkins,May 2015,present,Democratic,,2,2015,,2020.0
239,2nd,Brian K. Hopkins,May 2015,present,Democratic,,2,2015,,2021.0
240,2nd,Brian K. Hopkins,May 2015,present,Democratic,,2,2015,,2022.0
241,2nd,Brian K. Hopkins,May 2015,present,Democratic,,2,2015,,2023.0
262,20,Willie Cochran,2007,2019,,,20,2007,2019.0,2018.0
263,20,Willie Cochran,2007,2019,,,20,2007,2019.0,2019.0
264,20,Jeanette Taylor,"May 20, 2019",present,,,20,2019,,2019.0
265,20,Jeanette Taylor,"May 20, 2019",present,,,20,2019,,2020.0
266,20,Jeanette Taylor,"May 20, 2019",present,,,20,2019,,2021.0
267,20,Jeanette Taylor,"May 20, 2019",present,,,20,2019,,2022.0
268,20,Jeanette Taylor,"May 20, 2019",present,,,20,2019,,2023.0
284,21,Howard Brookins Jr.,May 2003,"May 15, 2023",,,21,2003,2023.0,2018.0
285,21,Howard Brookins Jr.,May 2003,"May 15, 2023",,,21,2003,2023.0,2019.0
286,21,Howard Brookins Jr.,May 2003,"May 15, 2023",,,21,2003,2023.0,2020.0
287,21,Howard Brookins Jr.,May 2003,"May 15, 2023",,,21,2003,2023.0,2021.0
288,21,Howard Brookins Jr.,May 2003,"May 15, 2023",,,21,2003,2023.0,2022.0
289,21,Howard Brookins Jr.,May 2003,"May 15, 2023",,,21,2003,2023.0,2023.0
315,22,Ricardo Muñoz,January 1993,"May 20, 2019",,,22,1993,2019.0,2018.0
316,22,Ricardo Muñoz,January 1993,"May 20, 2019",,,22,1993,2019.0,2019.0
317,22,Michael D. Rodriguez,"May 20, 2019",present,,,22,2019,,2019.0
318,22,Michael D. Rodriguez,"May 20, 2019",present,,,22,2019,,2020.0
319,22,Michael D. Rodriguez,"May 20, 2019",present,,,22,2019,,2021.0
320,22,Michael D. Rodriguez,"May 20, 2019",present,,,22,2019,,2022.0
321,22,Michael D. Rodriguez,"May 20, 2019",present,,,22,2019,,2023.0
345,23,Michael R. Zalewski,May 1995,"May 31, 2018",,,23,1995,2018.0,2018.0
346,23,Silvana Tabares,"June 28, 2018",present,,,23,2018,,2018.0
347,23,Silvana Tabares,"June 28, 2018",present,,,23,2018,,2019.0
348,23,Silvana Tabares,"June 28, 2018",present,,,23,2018,,2020.0
349,23,Silvana Tabares,"June 28, 2018",present,,,23,2018,,2021.0
350,23,Silvana Tabares,"June 28, 2018",present,,,23,2018,,2022.0
351,23,Silvana Tabares,"June 28, 2018",present,,,23,2018,,2023.0
355,24,Michael Scott Jr.,"May 18, 2015","June 3, 2022",,,24,2015,2022.0,2018.0
356,24,Michael Scott Jr.,"May 18, 2015","June 3, 2022",,,24,2015,2022.0,2019.0
357,24,Michael Scott Jr.,"May 18, 2015","June 3, 2022",,,24,2015,2022.0,2020.0
358,24,Michael Scott Jr.,"May 18, 2015","June 3, 2022",,,24,2015,2022.0,2021.0
359,24,Michael Scott Jr.,"May 18, 2015","June 3, 2022",,,24,2015,2022.0,2022.0
382,25th,Daniel Solis,1996,2019,Democratic,,25,1996,2019.0,2018.0
383,25th,Daniel Solis,1996,2019,Democratic,,25,1996,2019.0,2019.0
384,25th,Byron Sigcho-Lopez,2019,present,Democratic,,25,2019,,2019.0
385,25th,Byron Sigcho-Lopez,2019,present,Democratic,,25,2019,,2020.0
386,25th,Byron Sigcho-Lopez,2019,present,Democratic,,25,2019,,2021.0
387,25th,Byron Sigcho-Lopez,2019,present,Democratic,,25,2019,,2022.0
388,25th,Byron Sigcho-Lopez,2019,present,Democratic,,25,2019,,2023.0
398,26th,Roberto Maldonado,2009,present,Democratic,,26,2009,,2018.0
399,26th,Roberto Maldonado,2009,present,Democratic,,26,2009,,2019.0
400,26th,Roberto Maldonado,2009,present,Democratic,,26,2009,,2020.0
401,26th,Roberto Maldonado,2009,present,Democratic,,26,2009,,2021.0
402,26th,Roberto Maldonado,2009,present,Democratic,,26,2009,,2022.0
403,26th,Roberto Maldonado,2009,present,Democratic,,26,2009,,2023.0
427,27th,Walter Burnett Jr.,May 1995,present,Democratic,,27,1995,,2018.0
428,27th,Walter Burnett Jr.,May 1995,present,Democratic,,27,1995,,2019.0
429,27th,Walter Burnett Jr.,May 1995,present,Democratic,,27,1995,,2020.0
430,27th,Walter Burnett Jr.,May 1995,present,Democratic,,27,1995,,2021.0
431,27th,Walter Burnett Jr.,May 1995,present,Democratic,,27,1995,,2022.0
432,27th,Walter Burnett Jr.,May 1995,present,Democratic,,27,1995,,2023.0
440,28,Jason Ervin,"January 13, 2011",present,,,28,2011,,2018.0
441,28,Jason Ervin,"January 13, 2011",present,,,28,2011,,2019.0
442,28,Jason Ervin,"January 13, 2011",present,,,28,2011,,2020.0
443,28,Jason Ervin,"January 13, 2011",present,,,28,2011,,2021.0
444,28,Jason Ervin,"January 13, 2011",present,,,28,2011,,2022.0
445,28,Jason Ervin,"January 13, 2011",present,,,28,2011,,2023.0
455,29,Chris Taliaferro,"May 18, 2015",present,,,29,2015,,2018.0
456,29,Chris Taliaferro,"May 18, 2015",present,,,29,2015,,2019.0
457,29,Chris Taliaferro,"May 18, 2015",present,,,29,2015,,2020.0
458,29,Chris Taliaferro,"May 18, 2015",present,,,29,2015,,2021.0
459,29,Chris Taliaferro,"May 18, 2015",present,,,29,2015,,2022.0
460,29,Chris Taliaferro,"May 18, 2015",present,,,29,2015,,2023.0
472,3rd,Pat Dowell,"April 27, 2007",Present,Democratic,,3,2007,,2018.0
473,3rd,Pat Dowell,"April 27, 2007",Present,Democratic,,3,2007,,2019.0
474,3rd,Pat Dowell,"April 27, 2007",Present,Democratic,,3,2007,,2020.0
475,3rd,Pat Dowell,"April 27, 2007",Present,Democratic,,3,2007,,2021.0
476,3rd,Pat Dowell,"April 27, 2007",Present,Democratic,,3,2007,,2022.0
477,3rd,Pat Dowell,"April 27, 2007",Present,Democratic,,3,2007,,2023.0
493,30,Ariel Reboyras,May 2003,"May 15, 2023",,,30,2003,2023.0,2018.0
494,30,Ariel Reboyras,May 2003,"May 15, 2023",,,30,2003,2023.0,2019.0
495,30,Ariel Reboyras,May 2003,"May 15, 2023",,,30,2003,2023.0,2020.0
496,30,Ariel Reboyras,May 2003,"May 15, 2023",,,30,2003,2023.0,2021.0
497,30,Ariel Reboyras,May 2003,"May 15, 2023",,,30,2003,2023.0,2022.0
498,30,Ariel Reboyras,May 2003,"May 15, 2023",,,30,2003,2023.0,2023.0
499,31st,"Felix Cardona, Jr.","May 20, 2019",Present,N/A,,31,2019,,2019.0
500,31st,"Felix Cardona, Jr.","May 20, 2019",Present,N/A,,31,2019,,2020.0
501,31st,"Felix Cardona, Jr.","May 20, 2019",Present,N/A,,31,2019,,2021.0
502,31st,"Felix Cardona, Jr.","May 20, 2019",Present,N/A,,31,2019,,2022.0
503,31st,"Felix Cardona, Jr.","May 20, 2019",Present,N/A,,31,2019,,2023.0
507,31st,Milly Santiago,May 2015,"May 20, 2019",N/A,,31,2015,2019.0,2018.0
508,31st,Milly Santiago,May 2015,"May 20, 2019",N/A,,31,2015,2019.0,2019.0
545,32nd,Scott Waguespack,"May 20, 2007",present,Democratic,,32,2007,,2018.0
546,32nd,Scott Waguespack,"May 20, 2007",present,Democratic,,32,2007,,2019.0
547,32nd,Scott Waguespack,"May 20, 2007",present,Democratic,,32,2007,,2020.0
548,32nd,Scott Waguespack,"May 20, 2007",present,Democratic,,32,2007,,2021.0
549,32nd,Scott Waguespack,"May 20, 2007",present,Democratic,,32,2007,,2022.0
550,32nd,Scott Waguespack,"May 20, 2007",present,Democratic,,32,2007,,2023.0
556,33,Deb Mell,"July 24, 2013","May 20, 2019",,,33,2013,2019.0,2018.0
557,33,Deb Mell,"July 24, 2013","May 20, 2019",,,33,2013,2019.0,2019.0
558,33,Rossana Rodriguez-Sanchez,"May 20, 2019",present,,,33,2019,,2019.0
559,33,Rossana Rodriguez-Sanchez,"May 20, 2019",present,,,33,2019,,2020.0
560,33,Rossana Rodriguez-Sanchez,"May 20, 2019",present,,,33,2019,,2021.0
561,33,Rossana Rodriguez-Sanchez,"May 20, 2019",present,,,33,2019,,2022.0
562,33,Rossana Rodriguez-Sanchez,"May 20, 2019",present,,,33,2019,,2023.0
602,34,Bill Conway,"May 15, 2023",present,,,34,2023,,2023.0
627,34,Carrie Austin,"August 5, 1994","March 1, 2023",,,34,1994,2023.0,2018.0
628,34,Carrie Austin,"August 5, 1994","March 1, 2023",,,34,1994,2023.0,2019.0
629,34,Carrie Austin,"August 5, 1994","March 1, 2023",,,34,1994,2023.0,2020.0
630,34,Carrie Austin,"August 5, 1994","March 1, 2023",,,34,1994,2023.0,2021.0
631,34,Carrie Austin,"August 5, 1994","March 1, 2023",,,34,1994,2023.0,2022.0
632,34,Carrie Austin,"August 5, 1994","March 1, 2023",,,34,1994,2023.0,2023.0
649,35,Carlos Ramirez-Rosa,"May 18, 2015",present,,,35,2015,,2018.0
650,35,Carlos Ramirez-Rosa,"May 18, 2015",present,,,35,2015,,2019.0
651,35,Carlos Ramirez-Rosa,"May 18, 2015",present,,,35,2015,,2020.0
652,35,Carlos Ramirez-Rosa,"May 18, 2015",present,,,35,2015,,2021.0
653,35,Carlos Ramirez-Rosa,"May 18, 2015",present,,,35,2015,,2022.0
654,35,Carlos Ramirez-Rosa,"May 18, 2015",present,,,35,2015,,2023.0
658,36,Nicholas Sposato,"May 18, 2015",present,,,36,2015,,2018.0
659,36,Nicholas Sposato,"May 18, 2015",present,,,36,2015,,2019.0
660,36,Nicholas Sposato,"May 18, 2015",present,,,36,2015,,2020.0
661,36,Nicholas Sposato,"May 18, 2015",present,,,36,2015,,2021.0
662,36,Nicholas Sposato,"May 18, 2015",present,,,36,2015,,2022.0
663,36,Nicholas Sposato,"May 18, 2015",present,,,36,2015,,2023.0
667,36,Gilbert Villegas,"May 18, 2015",present,,,36,2015,,2018.0
668,36,Gilbert Villegas,"May 18, 2015",present,,,36,2015,,2019.0
669,36,Gilbert Villegas,"May 18, 2015",present,,,36,2015,,2020.0
670,36,Gilbert Villegas,"May 18, 2015",present,,,36,2015,,2021.0
671,36,Gilbert Villegas,"May 18, 2015",present,,,36,2015,,2022.0
672,36,Gilbert Villegas,"May 18, 2015",present,,,36,2015,,2023.0
691,37,Emma Mitts,"January 7, 2000",present,,,37,2000,,2018.0
692,37,Emma Mitts,"January 7, 2000",present,,,37,2000,,2019.0
693,37,Emma Mitts,"January 7, 2000",present,,,37,2000,,2020.0
694,37,Emma Mitts,"January 7, 2000",present,,,37,2000,,2021.0
695,37,Emma Mitts,"January 7, 2000",present,,,37,2000,,2022.0
696,37,Emma Mitts,"January 7, 2000",present,,,37,2000,,2023.0
702,38th,Nicholas Sposato,2013,present,Democratic,Redistricted from 36th ward,38,2013,,2018.0
703,38th,Nicholas Sposato,2013,present,Democratic,Redistricted from 36th ward,38,2013,,2019.0
704,38th,Nicholas Sposato,2013,present,Democratic,Redistricted from 36th ward,38,2013,,2020.0
705,38th,Nicholas Sposato,2013,present,Democratic,Redistricted from 36th ward,38,2013,,2021.0
706,38th,Nicholas Sposato,2013,present,Democratic,Redistricted from 36th ward,38,2013,,2022.0
707,38th,Nicholas Sposato,2013,present,Democratic,Redistricted from 36th ward,38,2013,,2023.0
735,39,Margaret Laurino,"July 24, 1994","May 20, 2019",,,39,1994,2019.0,2018.0
736,39,Margaret Laurino,"July 24, 1994","May 20, 2019",,,39,1994,2019.0,2019.0
737,39,Samantha Nugent,"May 20, 2019",present,,,39,2019,,2019.0
738,39,Samantha Nugent,"May 20, 2019",present,,,39,2019,,2020.0
739,39,Samantha Nugent,"May 20, 2019",present,,,39,2019,,2021.0
740,39,Samantha Nugent,"May 20, 2019",present,,,39,2019,,2022.0
741,39,Samantha Nugent,"May 20, 2019",present,,,39,2019,,2023.0
744,4th,Sophia King,"April 16, 2016",present,Democratic,,4,2016,,2018.0
745,4th,Sophia King,"April 16, 2016",present,Democratic,,4,2016,,2019.0
746,4th,Sophia King,"April 16, 2016",present,Democratic,,4,2016,,2020.0
747,4th,Sophia King,"April 16, 2016",present,Democratic,,4,2016,,2021.0
748,4th,Sophia King,"April 16, 2016",present,Democratic,,4,2016,,2022.0
749,4th,Sophia King,"April 16, 2016",present,Democratic,,4,2016,,2023.0
756,40,Andre Vasquez,"May 20, 2019",present,,,40,2019,,2019.0
757,40,Andre Vasquez,"May 20, 2019",present,,,40,2019,,2020.0
758,40,Andre Vasquez,"May 20, 2019",present,,,40,2019,,2021.0
759,40,Andre Vasquez,"May 20, 2019",present,,,40,2019,,2022.0
