,Ward,Alderperson,Start Date,End Date,Party,Notes,Clean Ward,Start Year,End Year,filled_year
22,1st,Proco Joe Moreno,"March 26, 2010","May 20, 2019",Democratic,,1,2010,2019.0,2018.0
0,1st,Daniel La Spata,"May 20, 2019",present,Democratic,,1,2019,,2019.0
23,1st,Daniel La Spata,"May 20, 2019",present,Democratic,,1,2019,,2020.0
24,1st,Daniel La Spata,"May 20, 2019",present,Democratic,,1,2019,,2021.0
25,1st,Daniel La Spata,"May 20, 2019",present,Democratic,,1,2019,,2022.0
26,1st,Daniel La Spata,"May 20, 2019",present,Democratic,,1,2019,,2023.0
27,2nd,Brian K. Hopkins,May 2015,present,Democratic,,2,2015,,2018.0
28,2nd,Brian K. Hopkins,May 2015,present,Democratic,,2,2015,,2019.0
29,2nd,Brian K. Hopkins,May 2015,present,Democratic,,2,2015,,2020.0
30,2nd,Brian K. Hopkins,May 2015,present,Democratic,,2,2015,,2021.0
31,2nd,Brian K. Hopkins,May 2015,present,Democratic,,2,2015,,2022.0
32,2nd,Brian K. Hopkins,May 2015,present,Democratic,,2,2015,,2023.0
33,3rd,Pat Dowell,"April 27, 2007",Present,Democratic,,3,2007,,2018.0
34,3rd,Pat Dowell,"April 27, 2007",Present,Democratic,,3,2007,,2019.0
35,3rd,Pat Dowell,"April 27, 2007",Present,Democratic,,3,2007,,2020.0
36,3rd,Pat Dowell,"April 27, 2007",Present,Democratic,,3,2007,,2021.0
37,3rd,Pat Dowell,"April 27, 2007",Present,Democratic,,3,2007,,2022.0
38,3rd,Pat Dowell,"April 27, 2007",Present,Democratic,,3,2007,,2023.0
39,4th,Sophia King,"April 16, 2016",present,Democratic,,4,2016,,2018.0
40,4th,Sophia King,"April 16, 2016",present,Democratic,,4,2016,,2019.0
41,4th,Sophia King,"April 16, 2016",present,Democratic,,4,2016,,2020.0
42,4th,Sophia King,"April 16, 2016",present,Democratic,,4,2016,,2021.0
43,4th,Sophia King,"April 16, 2016",present,Democratic,,4,2016,,2022.0
44,4th,Sophia King,"April 16, 2016",present,Democratic,,4,2016,,2023.0
118,5,Leslie Hairston,May 1999,"May 15, 2023",,,5,1999,2023.0,2018.0
119,5,Leslie Hairston,May 1999,"May 15, 2023",,,5,1999,2023.0,2019.0
120,5,Leslie Hairston,May 1999,"May 15, 2023",,,5,1999,2023.0,2020.0
121,5,Leslie Hairston,May 1999,"May 15, 2023",,,5,1999,2023.0,2021.0
122,5,Leslie Hairston,May 1999,"May 15, 2023",,,5,1999,2023.0,2022.0
123,5,Leslie Hairston,May 1999,"May 15, 2023",,,5,1999,2023.0,2023.0
124,6,Roderick Sawyer,"May 16, 2011","May 15, 2023",,,6,2011,2023.0,2018.0
125,6,Roderick Sawyer,"May 16, 2011","May 15, 2023",,,6,2011,2023.0,2019.0
126,6,Roderick Sawyer,"May 16, 2011","May 15, 2023",,,6,2011,2023.0,2020.0
127,6,Roderick Sawyer,"May 16, 2011","May 15, 2023",,,6,2011,2023.0,2021.0
128,6,Roderick Sawyer,"May 16, 2011","May 15, 2023",,,6,2011,2023.0,2022.0
129,6,Roderick Sawyer,"May 16, 2011","May 15, 2023",,,6,2011,2023.0,2023.0
130,7,Gregory Mitchell,"May 18, 2015",present,,,7,2015,,2018.0
131,7,Gregory Mitchell,"May 18, 2015",present,,,7,2015,,2019.0
