year,category,ward,calls,num_projects,total_cost
2012,Beautification,2,0,26,186900
2012,Beautification,3,0,3,15500
2012,Beautification,4,0,1,800
2012,Beautification,24,0,1,33500
2012,Beautification,25,0,3,125473
2012,Beautification,26,0,1,45711
2012,Beautification,27,0,1,1624
2012,Beautification,28,0,1,3600
2012,Beautification,42,0,6,24900
2012,Beautification,46,0,3,8100
2012,Beautification,49,0,1,120000
2012,Bike Infrastructure,25,0,1,1500
2012,Bike Infrastructure,47,0,2,475000
2012,Lighting,1,0,11,147950
2012,Lighting,2,0,41,312750
2012,Lighting,3,0,11,189327
2012,Lighting,4,0,5,8550
2012,Lighting,5,0,6,1282404
2012,Lighting,6,0,3,1280000
2012,Lighting,8,0,10,775811
2012,Lighting,9,0,3,3500
2012,Lighting,11,0,6,130546
2012,Lighting,12,0,10,905400
2012,Lighting,13,0,6,1102750
2012,Lighting,14,0,1,350
2012,Lighting,15,0,6,1245000
2012,Lighting,16,0,4,106892
2012,Lighting,17,0,4,512000
2012,Lighting,18,0,6,382350
2012,Lighting,19,0,2,700
2012,Lighting,20,0,4,77300
2012,Lighting,22,0,6,291850
2012,Lighting,23,0,2,6000
2012,Lighting,24,0,3,129400
2012,Lighting,25,0,2,3350
2012,Lighting,26,0,8,519750
2012,Lighting,27,0,10,553600
2012,Lighting,28,0,16,26600
2012,Lighting,29,0,5,448350
2012,Lighting,30,0,6,2800
2012,Lighting,31,0,6,237100
2012,Lighting,33,0,9,1011350
2012,Lighting,34,0,8,424755
2012,Lighting,35,0,10,729000
2012,Lighting,37,0,18,599450
2012,Lighting,38,0,5,3000
2012,Lighting,39,0,3,384000
2012,Lighting,40,0,2,700
2012,Lighting,41,0,1,350
2012,Lighting,42,0,6,104000
2012,Lighting,43,0,7,72470
2012,Lighting,44,0,6,705350
2012,Lighting,45,0,2,320000
2012,Lighting,46,0,8,959200
2012,Lighting,47,0,1,500
2012,Lighting,48,0,10,729050
2012,Lighting,49,0,1,600
2012,Lighting,50,0,1,23760
2012,Parks & Recreation,1,0,1,605000
